,filepath,timestamp,ref_img,ok
0,processed/combined_2022-11-13T03:49:33.0000__Brorfelde_2_20221112_192530_0.fits,2022-11-13 03:49:33,./processed/combined_2022-11-13T02:08:26.0000__Brorfelde_1_20221112_180823_0.fits,True
2,processed/combined_2022-11-12T07:15:36.0000__Brorfelde_4_20221111_224933_0.fits,2022-11-12 07:15:36,./processed/combined_2022-11-12T06:59:36.0000__Brorfelde_4_20221111_224933_0.fits,
3,processed/combined_2022-11-11T07:16:31.0000__Brorfelde_5_20221110_225228_0.fits,2022-11-11 07:16:31,./processed/combined_2022-11-11T05:51:00.0000__Brorfelde_4_20221110_215057_0.fits,
5,processed/combined_2022-11-11T06:14:00.0000__Brorfelde_4_20221110_215057_0.fits,2022-11-11 06:14:00,./processed/combined_2022-11-11T05:51:00.0000__Brorfelde_4_20221110_215057_0.fits,
7,processed/combined_2022-11-13T03:51:33.0000__Brorfelde_2_20221112_192530_0.fits,2022-11-13 03:51:33,./processed/combined_2022-11-13T02:08:26.0000__Brorfelde_1_20221112_180823_0.fits,True
8,processed/combined_2022-11-12T04:53:31.0000__Brorfelde_2_20221111_195408_1.fits,2022-11-12 04:53:31,./processed/combined_2022-11-12T04:36:31.0000__Brorfelde_2_20221111_195408_1.fits,
9,processed/combined_2022-11-11T05:58:00.0000__Brorfelde_4_20221110_215057_0.fits,2022-11-11 05:58:00,./processed/combined_2022-11-11T05:51:00.0000__Brorfelde_4_20221110_215057_0.fits,
10,processed/combined_2022-11-11T06:59:31.0000__Brorfelde_5_20221110_225228_0.fits,2022-11-11 06:59:31,./processed/combined_2022-11-11T05:51:00.0000__Brorfelde_4_20221110_215057_0.fits,
11,processed/combined_2022-11-13T02:31:26.0000__Brorfelde_1_20221112_180823_0.fits,2022-11-13 02:31:26,./processed/combined_2022-11-13T02:08:26.0000__Brorfelde_1_20221112_180823_0.fits,True
12,processed/combined_2022-11-13T03:35:33.0000__Brorfelde_2_20221112_192530_0.fits,2022-11-13 03:35:33,./processed/combined_2022-11-13T02:08:26.0000__Brorfelde_1_20221112_180823_0.fits,True
13,processed/combined_2022-11-12T04:37:31.0000__Brorfelde_2_20221111_195408_1.fits,2022-11-12 04:37:31,./processed/combined_2022-11-12T04:36:31.0000__Brorfelde_2_20221111_195408_1.fits,
14,processed/combined_2022-11-12T05:46:20.0000__Brorfelde_3_20221111_211257_1.fits,2022-11-12 05:46:20,./processed/combined_2022-11-12T04:36:31.0000__Brorfelde_2_20221111_195408_1.fits,
15,processed/combined_2022-11-13T02:12:26.0000__Brorfelde_1_20221112_180823_0.fits,2022-11-13 02:12:26,./processed/combined_2022-11-13T02:08:26.0000__Brorfelde_1_20221112_180823_0.fits,False
16,processed/combined_2022-11-13T02:29:26.0000__Brorfelde_1_20221112_180823_0.fits,2022-11-13 02:29:26,./processed/combined_2022-11-13T02:08:26.0000__Brorfelde_1_20221112_180823_0.fits,True
17,processed/combined_2022-11-13T06:03:57.0000__Brorfelde_4_20221112_220354_0.fits,2022-11-13 06:03:57,./processed/combined_2022-11-13T06:10:57.0000__Brorfelde_4_20221112_220354_0.fits,True
18,processed/combined_2022-11-12T02:48:48.0000__Brorfelde_1_20221111_183745_0.fits,2022-11-12 02:48:48,./processed/combined_2022-11-12T04:36:31.0000__Brorfelde_2_20221111_195408_1.fits,
19,processed/combined_2022-11-13T04:21:53.0000__Brorfelde_2_20221112_192530_1.fits,2022-11-13 04:21:53,./processed/combined_2022-11-13T02:08:26.0000__Brorfelde_1_20221112_180823_0.fits,False
21,processed/combined_2022-11-11T07:49:51.0000__Brorfelde_5_20221110_225228_1.fits,2022-11-11 07:49:51,./processed/combined_2022-11-11T05:51:00.0000__Brorfelde_4_20221110_215057_0.fits,
22,processed/combined_2022-11-13T07:00:17.0000__Brorfelde_4_20221112_220354_1.fits,2022-11-13 07:00:17,./processed/combined_2022-11-13T06:10:57.0000__Brorfelde_4_20221112_220354_0.fits,False
23,processed/combined_2022-11-12T02:50:48.0000__Brorfelde_1_20221111_183745_0.fits,2022-11-12 02:50:48,./processed/combined_2022-11-12T04:36:31.0000__Brorfelde_2_20221111_195408_1.fits,
24,processed/combined_2022-11-13T04:02:53.0000__Brorfelde_2_20221112_192530_1.fits,2022-11-13 04:02:53,./processed/combined_2022-11-13T02:08:26.0000__Brorfelde_1_20221112_180823_0.fits,False
25,processed/combined_2022-11-12T04:15:11.0000__Brorfelde_2_20221111_195408_0.fits,2022-11-12 04:15:11,./processed/combined_2022-11-12T04:36:31.0000__Brorfelde_2_20221111_195408_1.fits,
26,processed/combined_2022-11-13T05:05:40.0000__Brorfelde_3_20221112_205136_0.fits,2022-11-13 05:05:40,./processed/combined_2022-11-13T06:10:57.0000__Brorfelde_4_20221112_220354_0.fits,False
27,processed/combined_2022-11-13T05:35:00.0000__Brorfelde_3_20221112_205136_1.fits,2022-11-13 05:35:00,./processed/combined_2022-11-13T06:10:57.0000__Brorfelde_4_20221112_220354_0.fits,False
28,processed/combined_2022-11-13T03:02:46.0000__Brorfelde_1_20221112_180823_1.fits,2022-11-13 03:02:46,./processed/combined_2022-11-13T02:08:26.0000__Brorfelde_1_20221112_180823_0.fits,True
29,processed/combined_2022-11-13T06:20:57.0000__Brorfelde_4_20221112_220354_0.fits,2022-11-13 06:20:57,./processed/combined_2022-11-13T06:10:57.0000__Brorfelde_4_20221112_220354_0.fits,True
31,processed/combined_2022-11-11T07:51:51.0000__Brorfelde_5_20221110_225228_1.fits,2022-11-11 07:51:51,./processed/combined_2022-11-11T05:51:00.0000__Brorfelde_4_20221110_215057_0.fits,
32,processed/combined_2022-11-12T05:18:00.0000__Brorfelde_3_20221111_211257_0.fits,2022-11-12 05:18:00,./processed/combined_2022-11-12T04:36:31.0000__Brorfelde_2_20221111_195408_1.fits,
33,processed/combined_2022-11-11T06:36:20.0000__Brorfelde_4_20221110_215057_1.fits,2022-11-11 06:36:20,./processed/combined_2022-11-11T05:51:00.0000__Brorfelde_4_20221110_215057_0.fits,
34,processed/combined_2022-11-12T05:23:00.0000__Brorfelde_3_20221111_211257_0.fits,2022-11-12 05:23:00,./processed/combined_2022-11-12T04:36:31.0000__Brorfelde_2_20221111_195408_1.fits,
36,processed/combined_2022-11-11T07:35:51.0000__Brorfelde_5_20221110_225228_1.fits,2022-11-11 07:35:51,./processed/combined_2022-11-11T05:51:00.0000__Brorfelde_4_20221110_215057_0.fits,
37,processed/combined_2022-11-12T03:14:08.0000__Brorfelde_1_20221111_183745_1.fits,2022-11-12 03:14:08,./processed/combined_2022-11-12T04:36:31.0000__Brorfelde_2_20221111_195408_1.fits,
39,processed/combined_2022-11-13T05:51:00.0000__Brorfelde_3_20221112_205136_1.fits,2022-11-13 05:51:00,./processed/combined_2022-11-13T06:10:57.0000__Brorfelde_4_20221112_220354_0.fits,False
40,processed/combined_2022-11-12T03:37:08.0000__Brorfelde_1_20221111_183745_1.fits,2022-11-12 03:37:08,./processed/combined_2022-11-12T04:36:31.0000__Brorfelde_2_20221111_195408_1.fits,
41,processed/combined_2022-11-13T06:57:17.0000__Brorfelde_4_20221112_220354_1.fits,2022-11-13 06:57:17,./processed/combined_2022-11-13T06:10:57.0000__Brorfelde_4_20221112_220354_0.fits,False
42,processed/combined_2022-11-12T03:07:48.0000__Brorfelde_1_20221111_183745_0.fits,2022-11-12 03:07:48,./processed/combined_2022-11-12T04:36:31.0000__Brorfelde_2_20221111_195408_1.fits,
43,processed/combined_2022-11-13T04:52:40.0000__Brorfelde_3_20221112_205136_0.fits,2022-11-13 04:52:40,./processed/combined_2022-11-13T02:08:26.0000__Brorfelde_1_20221112_180823_0.fits,False
44,processed/combined_2022-11-13T02:55:46.0000__Brorfelde_1_20221112_180823_1.fits,2022-11-13 02:55:46,./processed/combined_2022-11-13T02:08:26.0000__Brorfelde_1_20221112_180823_0.fits,True
